sample_id,news_id,respond_to,worker_id,text_en,label_str,label_id,split,text_ru,translation_provider,translation_model,translation_prompt_version,translation_status,translation_flags,is_accepted,en_chars,ru_chars,char_ratio_ru_en,en_words,ru_words,word_ratio_ru_en,en_sentences,ru_sentences,sentence_ratio_ru_en,ru_cyrillic_share,ru_latin_share,flag_empty_translation,flag_low_cyrillic,flag_high_latin,flag_extreme_char_ratio,flag_extreme_sentence_ratio,sanity_flag_count,has_sanity_warning,marker_en_negation,marker_ru_negation,marker_preserved_negation,marker_en_causal,marker_ru_causal,marker_preserved_causal,marker_en_conclusion,marker_ru_conclusion,marker_preserved_conclusion,marker_en_modality,marker_ru_modality,marker_preserved_modality,marker_en_majority_quantifier,marker_ru_majority_quantifier,marker_preserved_majority_quantifier,marker_en_alternative,marker_ru_alternative,marker_preserved_alternative,marker_en_escalation,marker_ru_escalation,marker_preserved_escalation,marker_en_authority,marker_ru_authority,marker_preserved_authority,marker_en_tradition,marker_ru_tradition,marker_preserved_tradition,marker_en_nature,marker_ru_nature,marker_preserved_nature,argument_marker_preservation_score,argument_marker_source_count,flag_low_marker_preservation,translation_quality_flag_count,has_translation_quality_warning,cometkiwi_score,flag_low_cometkiwi
3748,100,,4,The people who were attacked are correct: being attacked like this by 2 strangers due to political differences essentially means the next step is a nazi-like state. Fascism will follow as it always does follow events like this! Serbia has to crack down on this fast before we have a Hitler 2.0 on our hands!,slippery slope,8,train,"Люди, на которых напали, правы: быть вот так атакованными двумя незнакомцами из-за политических разногласий по сути означает, что следующий шаг — это государство нацистского типа. За этим последует фашизм, как он всегда следует за такими событиями! Сербия должна быстро и жёстко пресечь это, прежде чем у нас на руках окажется Гитлер 2.0!",openai,gpt-5.4-mini-2026-03-17,ru_translation_v1,ok,['contains_political_extremism'],True,307,338,1.1009771986970684,57,53,0.9298245614035088,4,4,1.0,1.0,0.0,False,False,False,False,False,0,False,False,False,,True,True,1.0,False,False,,False,True,,False,False,,False,False,,True,False,0.0,False,False,,True,True,1.0,False,False,,0.6666666666666666,3,False,0,False,0.8547141551971436,False
8834,546,,22,The majority of the people believe this was unjust. It must mean that the police attack was unjust and all of the police involved should be jailed.,appeal to majority,2,train,"Большинство людей считает, что это было несправедливо. Это должно означать, что нападение полиции было несправедливым и все причастные полицейские должны быть заключены в тюрьму.",openai,gpt-5.4-mini-2026-03-17,ru_translation_v1,ok,[],True,147,178,1.2108843537414966,27,24,0.8888888888888888,2,2,1.0,1.0,0.0,False,False,False,False,False,0,False,False,False,,False,False,,True,False,0.0,True,True,1.0,True,True,1.0,False,False,,False,False,,False,False,,False,False,,False,False,,0.6666666666666666,3,False,0,False,0.8902840614318848,False
10189,297,,8,There is such thick irony in the fact that so many women supported the Islamic Revolution of 1979 only to then suffer the repression of those who took control. Let's hope these protests continue but that no harm comes to them as they struggle for their freedom.,none,0,train,"В том, что так много женщин поддержали Исламскую революцию 1979 года лишь для того, чтобы затем страдать от репрессий тех, кто захватил власть, есть такая густая ирония. Будем надеяться, что эти протесты продолжатся, но что им не будет причинено вреда, пока они борются за свою свободу.",openai,gpt-5.4-mini-2026-03-17,ru_translation_v1,ok,[],True,261,286,1.0957854406130267,48,46,0.9583333333333334,2,2,1.0,1.0,0.0,False,False,False,False,False,0,False,True,True,1.0,True,False,0.0,True,False,0.0,False,False,,False,False,,False,False,,True,True,1.0,False,False,,False,False,,False,False,,0.5,4,False,0,False,0.8651466369628906,False
7688,564,,2,How bad does this party have to be to let this happen. Especially that many times over. How can this party possibly govern a country when they can't even govern themselves? This should be a nail in the coffin for all their careers.,hasty generalization,7,train,"Насколько же плохой должна быть эта партия, чтобы допустить такое. Особенно столько раз подряд. Как эта партия вообще может управлять страной, если она не может управлять даже собой? Это должно стать последним гвоздём в крышку гроба для всех их карьер.",openai,gpt-5.4-mini-2026-03-17,ru_translation_v1,ok,[],True,231,252,1.0909090909090908,44,40,0.9090909090909091,4,4,1.0,1.0,0.0,False,False,False,False,False,0,False,False,True,,False,False,,False,False,,True,True,1.0,True,False,0.0,False,False,,False,False,,False,False,,False,False,,False,False,,0.5,2,False,0,False,0.8247569799423218,False
10412,372,7112,18,Generalizing the notion that Wuhan is the the epicenter may forgo more complex information based on the situation. Looking into all avenues of the why and the how on the situation may open up further avenues of information. It may lead to additional causes to the wuhan problem. Having a different perspective or experience may lead to stories and information that would have never come out by just making hasty explanations.,hasty generalization,7,dev,"Обобщение представления о том, что Ухань — это эпицентр, может упустить более сложную информацию, основанную на ситуации. Рассмотрение всех путей ответа на вопрос почему и как в этой ситуации может открыть дополнительные каналы информации. Это может привести к выявлению дополнительных причин уханьской проблемы. Иная перспектива или опыт могут привести к историям и информации, которые никогда бы не всплыли, если бы просто делать поспешные объяснения.",openai,gpt-5.4-mini-2026-03-17,ru_translation_v1,ok,"['original_contains_repetition: ""the the""', 'lowercase_named_entity_preserved_as_in_source: ""wuhan""']",True,425,453,1.0658823529411765,71,63,0.8873239436619719,4,4,1.0,1.0,0.0,False,False,False,False,False,0,False,True,True,1.0,True,False,0.0,False,False,,False,False,,True,False,0.0,True,True,1.0,False,False,,False,False,,False,False,,False,False,,0.5,4,False,0,False,0.8382669687271118,False
5062,188,,34,"They need to get a new phone just for that and get rid of it before leaving the country. They can get personal information and steal your identity or just watch everything that you do. You never know what kind of information they want from others in different parts of the world, don't want them to get personal information.",none,0,dev,"Им нужно завести новый телефон только для этого и избавиться от него перед отъездом из страны. Они могут получить личную информацию и украсть вашу личность или просто наблюдать за всем, что вы делаете. Вы никогда не знаете, какую информацию они хотят получить от других в разных частях мира, не хотите, чтобы они получили личную информацию.",openai,gpt-5.4-mini-2026-03-17,ru_translation_v1,ok,['ambiguous_pronouns'],True,324,340,1.0493827160493827,60,55,0.9166666666666666,3,3,1.0,1.0,0.0,False,False,False,False,False,0,False,True,True,1.0,False,False,,False,False,,True,True,1.0,False,False,,True,True,1.0,False,False,,False,False,,False,False,,False,False,,1.0,3,False,0,False,0.8604044914245605,False
8179,527,,65,"Climate change is a Global but specially affects countries like India and Pakistan. There needs to be assistance and solutions available for India's farmers who are greatly affected by this real phenomenon. At this point, it has been a hit or miss. We either give them total assistance or leave them to suffer with no solutions. Can't we see that there's more to climate action than these extremes?",false dilemma,6,train,"Изменение климата носит глобальный характер, но особенно сильно затрагивает такие страны, как Индия и Пакистан. Необходима помощь и доступные решения для фермеров Индии, которые сильно страдают от этого реального явления. На данный момент это было то удачей, то провалом. Мы либо оказываем им полную помощь, либо оставляем их страдать без каких-либо решений. Разве мы не видим, что в климатических действиях есть нечто большее, чем эти крайности?",openai,gpt-5.4-mini-2026-03-17,ru_translation_v1,ok,['minor_style_adjustment'],True,398,446,1.120603015075377,71,67,0.9436619718309859,5,5,1.0,1.0,0.0,False,False,False,False,False,0,False,True,True,1.0,False,False,,False,False,,False,False,,False,False,,True,True,1.0,False,False,,False,False,,False,False,,False,False,,1.0,2,False,0,False,0.8400464653968811,False
8943,582,,2,"Is Georgia not in fact a democracy? If the ruling party, who got elected, wants to take this action, what right do people have to attack it like they're behaving undemocratically? If most people have an issue with this, they can vote for a different party at the next election, just like most people voted for this party.",appeal to majority,2,train,"Разве Грузия на самом деле не демократия? Если правящая партия, которая была избрана, хочет предпринять это действие, какое право имеют люди нападать на неё так, будто она ведёт себя недемократично? Если у большинства людей есть проблема с этим, они могут проголосовать за другую партию на следующих выборах, точно так же, как большинство людей проголосовало за эту партию.",openai,gpt-5.4-mini-2026-03-17,ru_translation_v1,ok,[],True,321,373,1.161993769470405,59,57,0.9661016949152542,3,3,1.0,1.0,0.0,False,False,False,False,False,0,False,True,True,1.0,False,False,,False,False,,True,False,0.0,True,True,1.0,False,False,,True,False,0.0,False,False,,False,False,,False,False,,0.5,4,False,0,False,0.8760948181152344,False
4007,37,,2,"Really seems like a waste here, like there are more important things to be doing. Is the world really lacking in free protest posters or something? Art is great and all, but I'm sure their efforts could be directed towards something a lot more productive and useful.",appeal to worse problems,5,train,"Действительно кажется, что это пустая трата времени, будто есть дела и поважнее. Неужели в мире и правда не хватает бесплатных плакатов для протеста или чего-то в этом роде? Искусство — это, конечно, прекрасно, но я уверен, что их усилия можно было бы направить на что-то гораздо более продуктивное и полезное.",openai,gpt-5.4-mini-2026-03-17,ru_translation_v1,ok,[],True,266,310,1.1654135338345866,48,51,1.0625,3,3,1.0,1.0,0.0,False,False,False,False,False,0,False,False,True,,False,False,,False,False,,False,False,,True,False,0.0,True,True,1.0,False,False,,False,False,,False,False,,False,False,,0.5,2,False,0,False,0.838900625705719,False
3909,4,3160,11,"It's wild to me that you think the government couldn't do more. We are talking about the Chinese government. Of course they could do more since they had information they were more than likely trying t suppress from the world about this virus and what it would do to a city. They could have used that information to begin to mobilize the equipment they would need in order to better support the residents of Wuhan once they knew they would quarantine and shit down the city. We all should stand with Wuhan and its residents at this moment. They have been let down by their government, and that saddens me.",none,0,test,"Меня поражает, что ты думаешь, будто правительство не могло сделать больше. Мы говорим о китайском правительстве. Конечно, они могли сделать больше, поскольку у них была информация, которую они, скорее всего, пытались скрыть от мира об этом вирусе и о том, что он сделает с городом. Они могли использовать эту информацию, чтобы начать мобилизовывать оборудование, которое им понадобится, чтобы лучше поддержать жителей Уханя, как только они поняли бы, что будут вводить карантин и закрывать город. Мы все должны в этот момент поддержать Ухань и его жителей. Их подвело их правительство, и это меня печалит.",openai,gpt-5.4-mini-2026-03-17,ru_translation_v1,ok,['typo_in_source_preserved_meaning'],True,604,606,1.0033112582781456,112,93,0.8303571428571429,6,6,1.0,1.0,0.0,False,False,False,False,False,0,False,False,True,,True,False,0.0,False,False,,True,True,1.0,True,True,1.0,False,False,,False,False,,False,True,,False,False,,False,False,,0.6666666666666666,3,False,0,False,0.844407320022583,False
